Aldi;1e Middellandstraat 56;3014 BG;51.918953;4.464029;;
Dirk;1e Middellandstraat 115;3021 BD;51.918510;4.459828;;
Lidl;Ambachtsplein 30;3068 GV;51.964913;4.571034;;
Coop;Ambachtsplein 97;3068 GV;51.965570;4.569858;;
Albert Heijn XL;Argonautenweg 1;3054 RP;51.959186;4.494417;;
Aldi;Argonautenweg 14;3054 RP;51.958783;4.493874;;
Dirk;Beijerlandsepassage 7;3074 RW;51.896263;4.511524;;
Albert Heijn;Benthuizerstraat 54;3036 CJ;51.936369;4.479879;;
Albert Heijn;Bentinckplein 40;3039 KM;51.927053;4.461992;;
Dirk;Bergweg 91;3037 ED;51.939227;4.479211;;
Albert Heijn to go;Beurstraverse 146;3012 AT;51.919900;4.480459;;
Plus;Binnenhof 2;3069KV;51.578916;4.636717;;
Aldi;Binnenhof 39;3069 KV;52.378843;6.677703;;
Jumbo;Botersloot 13-19;3011 HE;51.903658;4.941455;;
Coop;Bredenoord 8-16;3079 JE;51.882918;4.551722;;
Plus;Burgemeester Baumannlaan 187-189;3042AD;51.934526;4.428354;;
Spar;Burgemeester Oudlaan 50;3062 PA;51.917975;4.526174;;
Albert Heijn to go;Coolsingel 131a;3012 AG;51.918819;4.479669;;
Aldi;Cor Kieboomplein 120;3077 MK;51.897069;4.523534;;
Albert Heijn to go;Dr. Molewaterplein 40;3015 GD;51.910168;4.466608;;
Albert Heijn;Eudokiaplein 12;3037 BT;51.932718;4.471414;;
Aldi;Eudokiaplein 8 - 10;3037 BT;51.932868;4.470847;;
Lidl;Galvanistraat 76;3029 AD;51.911335;4.429698;;
Plus;Ganzerikplein 329;3053EA;51.958876;4.472418;;
Spar;Glashaven 6;3011 XH;51.916462;4.485747;;
Albert Heijn;Goudse Rijweg 707;3031 CG;51.928749;4.488683;;
Dirk;Goudsesingel 19-23;3031 EB;51.916844;4.352081;;
MCD;Groene zoom 208;3075 GK;51.884941;4.512263;;
Albert Heijn;Groenendaal 49-55;3011 SN;51.922002;4.493565;;
Albert Heijn;Grote Markt 98;3011 PA;51.917658;4.486852;;
Dirk;Hellevoetstraat 2-18;3081 NP;51.895277;4.487072;;
Albert Heijn;Hesseplaats 13;3069 EA;51.962589;4.553934;;
Jumbo;Hesseplaats 435;3069 EA;51.962659;4.551601;;
Jumbo;Hillelaan 77;3072 JE;51.902946;4.495675;;
Coop;jacob van campenplein 182;3067 LE;51.943439;4.537753;;
Lidl;Jacques Dutilhweg 193 205;3065 KA;51.930445;4.558682;;
Albert Heijn;Keizerswaard 33;3078 AL;51.887111;4.546450;;
Jumbo;Keizerswaard 63;3078 AL;51.886562;4.546278;;
Dirk;Keizerswaard 58;3078 AM;51.886817;4.548411;;
Aldi;Kleiweg 16 (Nassaustr.);3051 GR;51.944860;4.481861;;
Albert Heijn;Kleiweg 35;3051 GJ;51.945131;4.481613;;
Albert Heijn;Krabbendijkestraat 10;3086 LW;51.874636;4.467018;;
Attent;Kreekplein 8;3079 AB;51.885647;4.536729;;
Albert Heijn;Laan op Zuid 1190;3071 AC;51.904490;4.503665;;
Lidl;Lange Hilleweg 103 -115;3073 BK;51.893436;4.501615;;
Albert Heijn;Lijnbaan 121;3012 EN;51.919266;4.477052;;
Aldi;Linker Rottekade 6b;3034 NT;51.935339;4.490812;;
Albert Heijn;Lusthofstraat 89;3061 WL;51.924591;4.510064;;
Aldi;Maaskade 23 a;3071 NA;51.916379;4.500191;;
Albert Heijn;Maltaplein 52;3059 XW;51.980387;4.582737;;
Albert Heijn;Mariniersweg 39;3011 ND;51.923722;4.488465;;
Albert Heijn;Marinus Bolkplein 4;3067 AK;51.941868;4.547742;;
Lidl;Mathenesserdijk 123;3027 BG;51.915942;4.436765;;
Albert Heijn;Mathenesserplein 76;3022 LD;51.917801;4.444908;;
Albert Heijn;Meent 80-84;3011 JN;51.922230;4.483186;;
Albert Heijn;Mia van IJperenplein 89;3065 JK;51.929057;4.547044;;
Coop;Moermanskpad 27-37;3067 DG;51.944006;4.565284;;
Coop;Nieuwe Binnenweg 24;3015 BA;51.916385;4.470588;;
Albert Heijn;Nieuwe Binnenweg 288B;3021 GS;51.912783;4.458476;;
Dirk;Nieuwe Ommoordseweg 4;3068 BT;51.958303;4.544930;;
Albert Heijn;Oudedijk 149;3061 AA;51.927517;4.509835;;
Lidl;Paul Krugerstraat 220 -222;3072 GS;51.898914;4.496895;;
Albert Heijn;Peppelweg 151;3053 GL;51.960969;4.466721;;
Dirk;Pinkstraat 8;3028 XX;51.918142;4.418135;;
Aldi;Plein 1953 Nr. 187;3086 EM;51.873602;4.470149;;
Dirk;Plein 1953 31;3086 ED;51.874631;4.468612;;
Albert Heijn XL;Poolsterstraat 16;3067 LX;51.950756;4.553733;;
Albert Heijn XL;Poolsterstraat 40;3067 LX;51.950141;4.553647;;
Albert Heijn to go;Prins Alexanderplein 50;3067 GC;51.951552;4.552009;;
Dirk;Prinsenplein 50;3078 GX;51.891103;4.552081;;
Albert Heijn to go;Proveniersplein 24;3013 EA;51.925833;4.469181;;
Hoogvliet;Rhijnauwensingel 227-237;3077 VD;51.892989;4.569814;;
Plus;Rijnwaterstraat 35;3063HC;51.913860;4.520795;;
Jumbo;Samuel Esmeijerplein 21;3067 AP;51.939984;4.548959;;
Sahan Supermarkt;Schans 8;3025 VJ;51.909348;4.447554;;
Dirk;Schepenstraat 115;3039 NE;51.927068;4.462652;;
Plus;Schere 4-6;3085DW;51.875100;4.493536;;
Jumbo;Schiedamseweg 62;3025 AD;51.909842;4.445217;;
Dirk;Schiedamseweg 204;3025 AM;51.911252;4.438976;;
Albert Heijn;Schouwburgplein 85;3012 CL;51.921270;4.472267;;
Jumbo;Sicilliëboulevard 402;3059 XT;51.981692;4.581842;;
Albert Heijn;Sint-Jobsweg 116;3024 EJ;51.904121;4.459164;;
Albert Heijn;Slinge 191;3085 ER;51.873745;4.490806;;
Lidl;Spinozaweg 181 -189;3076 EL;51.877445;4.521776;;
Jumbo;Spinozaweg 293;3076 EP;51.877342;4.519419;;
Plus;Stadhoudersplein 135;3038 EA;51.931766;4.463283;;
Albert Heijn;Statenweg 103;3039 HJ;51.930681;4.457700;;
Albert Heijn to go;Stationsplein 16;3013 AJ;51.925075;4.469904;;
Albert Heijn to go;Stationsplein 335;3013 AK;51.923736;4.470618;;
Albert Heijn;Strijensestraat 77;3074 GH;51.896364;4.510071;;
Coop;van Beethovensingel 4;3055 JJ;51.960087;4.503751;;
Spar;Van Der Takstraat 56;3071 LM;51.914294;4.496093;;
Albert Heijn;Vasteland 108;3011 BP;51.911279;4.478090;;
Albert Heijn;Vierhavensstraat 147;3029 BB;51.909485;4.436493;;
Jumbo;Vijf Werelddelen 33;3071 PS;51.910609;4.499225;;
Troefmarkt;Vinkenbaan 73;3075 BM;51.881805;4.502372;;
Albert Heijn;Vlietlaan 61;3061 DV;51.928753;4.501497;;
Lidl;Vuurplaat 261 269;3071 AR;51.904685;4.504096;;
Spar;W. De Withstraat 32-34;3012 BP;51.915744;4.478105;;
MCD;Wolphaertsbocht 23;3082 AB;51.894275;4.466842;;
Dirk;Zevenkampsering 869;3069 MD;51.965785;4.562349;;
Dirk;Zuiderterras 162-186;3083 BZ;51.886358;4.490376;;
Albert Heijn;Zuidplein 622;3083 CX;51.887693;4.490917;;
